what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308428053536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428053650
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428053668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428059467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428077626
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428077701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308428137875
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308428138263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428161608
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428179944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308428190472
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428191460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308428205219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428599300
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428623607
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428623757
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428627928
activated,view,org.python.pydev,2.1.0.2011052613,"org.python.pydev.navigator.view",1308428637834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428640423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308428648511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308428664441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428665472
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428666889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308428667183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308428692016
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308428692803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428704467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308428798254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308428850077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308428851442
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308428881037
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308428881552
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308428883717
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308428887077
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308428905315
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1308428941552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1308428955086
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308428957275
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308428960338
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308428960979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308428968214
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308428968372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308428968734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308428968921
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308428989293
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308428990026
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308428990270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428996737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428997025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428997289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428997537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428998100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428998607
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428998965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428999263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428999462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308428999858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308429000751
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308429001177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308429001699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308429002046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308429002588
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308429003666
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308429004033
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308429014060
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308429017364
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308429017999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308429018738
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308429019307
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308429039833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308429044260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429048636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429086462
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308429091668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429103117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429138262
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308429139669
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308429139851
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308429139990
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308429140135
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1308429140281
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1308429140775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308429154658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429157731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429184977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308429188301
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308429191311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429201348
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308429201365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429201484
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308429201496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429210983
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308429211000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429216998
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308429217018
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308429217118
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308429220868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308429226292
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308429227116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308429261443
